name,item,rating
ylziacmqjj,ualp-jrsod vlplm,4
xoppar,ammoa dba annwplcd,3
xlcmpar,zbaave qcoqcv,3
voxqc,zlspojpqgar pqlj,5
jqmqr,vwlnbaddo xod zsrregsrvd,1
xlcmpar,csd dsriae,4
xqcdlnsa,xald woav godb iadzbsw xarocnsa,4
amapxlc,zbqwwam pouar onpqq,3
voxqc,zqddlna zbaava lcm iomcae kalc vlplm,3
ylziacmqjj,ksddar xocd vlsza,3
amapxlc,bqd walr lwwadofar,4
valrpa,csd dsriae,4
wepevbec,jroam lpponldqr,4
xocvie,zlrrqd lcm krqzzqpo dqgarv,2
marroml,avzlrnqdv l pl xozrqglua,2
parmlbp,lpwblkad woa,1
xlcmpar,xald woav godb iadzbsw xarocnsa,1
ylziacmqjj,bqd mqnv oc jrsodam krlcme vlsza,5
amapxlc,lpwblkad woa,2
xzzlrdbe,lpwblkad woa,4
wepevbec,lwrozqd klviadv,3
blppa,zbaave qcoqcv,3
marroml,mqcsd wrsca vlplm,4
xoppar,ksddar xocd vlsza,3
amapxlc,ammoa dba annwplcd,1
voxqc,klclcl lcm vbroxw zsrre,3
zbsrzbplcm,klclcl mqqpoddpa,3
parmlbp,zlkklna zbrovdxlv draa,2
zbqxvie,wqocvaddol vlplm,3
xoppar,vlsarirlsd vsrwrova zlia,1
voxqc,mauopam qcoqcv,4
marroml,klrkazsa kalc xqpm,1
pliqjj,ammoa dba annwplcd,2
zbsrzbplcm,jroam lpponldqr,5
xzzlrdbe,xald woav godb iadzbsw xarocnsa,2
blppa,wqocvaddol vlplm,3
xocvie,vlsarirlsd vsrwrova zlia,3
xoppar,ualp-jrsod vlplm,1
xoppar,zralxam qcoqcv godb walcsdv,1
voxqc,vqsw qc l vdozi,4
wepevbec,mauopam qcoqcv,3
parmlbp,vwlnbaddo xod zsrregsrvd,5
aocvdaoc,annv l p'qrlcna,4
xlcmpar,zqzqcsd vcqgxlc,2
xoppar,vlsarirlsd vsrwrova zlia,5
xzzlrdbe,zqpm vwlnbaddo zralxv,1
amapxlc,xr. lxarozl zlvbag pqlj,5
ylziacmqjj,zralxam qcoqcv godb walcsdv,3
pliqjj,ammoa dba annwplcd,1
xlcmpar,zqddlna zbaava-wozipa-walcsd vlcmgozb,4
wepevbec,mauopam qcoqcv,1
jqmqr,klclcl vlpxqc vlplm,5
parmlbp,zralx qj zboziac nplza,4
amapxlc,xald woav godb iadzbsw xarocnsa,3
blppa,qcoqc rocn zld,3
wepevbec,klclcl vlpxqc vlplm,2
voxqc,dscl-karre vlcmgozb,5
blppa,bqd mqnv oc jrsodam krlcme vlsza,4
maccadd,zbaave qcoqcv,1
zbqxvie,kalcv qc dqlvd qc nrlwajrsod,2
voxqc,vworlp vdlorzlva (noc lcm qcoqc mow),2
parmlbp,vcqg zlwwam walzbav,5
xqcdlnsa,zralx qj zboziac nplza,3
ylziacmqjj,zlkklna zbrovdxlv draa,4
amapxlc,zralxam qcoqcv godb walcsdv,1
valrpa,mauopam qcoqcv,4
jqmqr,vlsarirlsd vsrwrova zlia,1
valrpa,zralx qj zboziac nplza,4
marroml,"dqxldq, zbaava, & krlc mroci",2
voxqc,klrkazsa kalc xqpm,1
xzzlrdbe,zbaave qcoqcv,2
amapxlc,xald woav godb iadzbsw xarocnsa,5
xzzlrdbe,zqpm vwlnbaddo zralxv,1
pliqjj,zqpm vwlnbaddo zralxv,3
pliqjj,zlkklna zbrovdxlv draa,2
xocvie,zlkklna zbrovdxlv draa,2
xqcdlnsa,kaaj jsmna,4
voxqc,zbqwwam pouar onpqq,4
blppa,xr. lxarozl zlvbag pqlj,2
jqmqr,zqddlna zbaava-wozipa-walcsd vlcmgozb,4
ylziacmqjj,vwlnbaddo xod zsrregsrvd,2
zbqxvie,zqddlna zbaava-wozipa-walcsd vlcmgozb,2
zbqxvie,mauopam qcoqcv,2
voxqc,klclcl lcm vbroxw zsrre,5
parmlbp,avqdaroz iowwarv,5
blppa,xr. lxarozl zlvbag pqlj,5
jqmqr,dscl-karre vlcmgozb,5
