name,item,rating
jackendoff,beef fudge,2
dennett,turnip kangaroo,4
searle,cauliflower loaf,1
searle,versatile chicken in aspic,5
dennett,cream of chicken glace,3
simon,cold spaghetti creams,3
lakoff,butter mint sauce,2
halle,coconut snowman,3
lakoff,eggs cooked like tripe,2
searle,turnip kangaroo,4
minsky,barbecue bean mold,5
minsky,nut turkey,4
edelman,snow capped peaches,4
churchland,eddie the eggplant,4
edelman,eddie the eggplant,5
mandler,eggs cooked like tripe,3
jackendoff,cottage cheese-pickle-peanut sandwich,1
chomsky,beans on toast on grapefruit,3
churchland,mr. america cashew loaf,5
lerdahl,meat pies with ketchup meringue,2
dennett,spaghetti rondelles,1
edelman,poinsettia salad,1
einstein,macaroni-pineapple toss,5
pylyshyn,fried alligator,4
derrida,spaghetti mit currywurst,1
mccarthy,versatile chicken in aspic,3
searle,cauliflower loaf,2
lakoff,"tomato, cheese, & bran drink",1
minsky,cabbage christmas tree,4
pylyshyn,eggs a l'orange,1
montague,spaghetti mit currywurst,4
mandler,snow capped peaches,4
minsky,eggs a l'orange,5
halle,cauliflower loaf,1
chomsky,eddie the eggplant,4
miller,banana salmon salad,4
einstein,glamour girl salad,2
jackendoff,chopped liver igloo,4
jackendoff,versatile chicken in aspic,4
fodor,soup on a stick,3
searle,butter mint sauce,4
simon,cottage cheese-pickle-peanut sandwich,5
edelman,snow capped peaches,3
jackendoff,snow capped peaches,4
derrida,escargots a la microwave,2
edelman,"tomato, cheese, & bran drink",3
pylyshyn,barbecue bean mold,2
simon,cottage cheese and kidney bean salad,5
montague,turnip kangaroo,5
montague,banana doolittle,2
churchland,alphabet pie,4
montague,cottage cheese and kidney bean salad,4
miller,spaghetti mit currywurst,2
halle,spaghetti mit currywurst,1
lerdahl,beef fudge,1
fodor,cabbage christmas tree,4
halle,cottage cheese and kidney bean salad,5
lakoff,snow capped peaches,2
fodor,chicken that is special,5
einstein,cold spaghetti creams,5
fodor,snow capped peaches,2
mccarthy,macaroni-pineapple toss,5
lerdahl,alphabet pie,1
einstein,nut turkey,4
einstein,creamed onions with peanuts,2
edelman,chilled spiced chicken,5
jackendoff,banana salmon salad,1
dennett,mint-cheese pineapple chunks,4
pylyshyn,versatile chicken in aspic,1
miller,deviled onions,4
mandler,snow capped peaches,2
dennett,banana doolittle,4
lakoff,escargots a la microwave,4
einstein,creamed onions with peanuts,5
montague,donut prune salad,5
churchland,coconut snowman,2
searle,beef fudge,2
halle,donut prune salad,1
mandler,meat pies with ketchup meringue,2
mccarthy,eggs a l'orange,4
edelman,turnip kangaroo,3
halle,spiral staircase (gin and onion dip),5
edelman,cream of chicken glace,4
churchland,spiral staircase (gin and onion dip),1
simon,chicken that is special,3
derrida,veal-fruit salad,3
derrida,spaghetti loaf,4
fodor,snow capped peaches,4
pylyshyn,coconut snowman,2
mandler,soup on a stick,3
churchland,banana and shrimp curry,2
halle,cream of chicken glace,4
churchland,deviled onions,5
searle,versatile chicken in aspic,4
churchland,sauerkraut surprise cake,3
fodor,spaghetti loaf,4
halle,coconut snowman,4
minsky,eddie the eggplant,4
churchland,spaghetti loaf,2
minsky,cream of chicken glace,1
chomsky,fried alligator,2
churchland,eddie the eggplant,3
chomsky,cold spaghetti creams,2
edelman,alphabet pie,3
jackendoff,onion ring cat,2
mccarthy,deviled onions,3
lerdahl,spaghetti rondelles,1
fodor,cottage cheese-pickle-peanut sandwich,4
lerdahl,banana doolittle,2
jackendoff,eddie the eggplant,5
edelman,chilled spiced chicken,1
chomsky,beef fudge,2
fodor,banana doolittle,4
halle,cabbage christmas tree,1
pylyshyn,spaghetti loaf,1
mccarthy,apricot baskets,4
einstein,chilled spiced chicken,1
montague,chicken that is special,1
pylyshyn,versatile chicken in aspic,5
miller,eggs cooked like tripe,3
jackendoff,eggs cooked like tripe,3
mandler,spaghetti rondelles,2
miller,cheesy onions,2
miller,mr. america cashew loaf,5
lakoff,nut turkey,2
churchland,"tomato, cheese, & bran drink",2
churchland,snow capped peaches,1
minsky,spaghetti loaf,4
jackendoff,donut prune salad,2
miller,glamour girl salad,2
halle,chopped liver igloo,3
lakoff,cottage cheese-pickle-peanut sandwich,5
lerdahl,apricot baskets,2
jackendoff,beef fudge,5
derrida,onion ring cat,1
jackendoff,meat pies with ketchup meringue,1
einstein,mint-cheese pineapple chunks,3
pylyshyn,glamour girl salad,3
chomsky,cream of chicken glace,5
edelman,mr. america cashew loaf,1
montague,donut prune salad,4
simon,veal-fruit salad,4
halle,cottage cheese-pickle-peanut sandwich,3
searle,banana doolittle,2
simon,"tomato, cheese, & bran drink",3
fodor,cream of chicken glace,2
churchland,eggplant clown,4
einstein,soup on a stick,5
halle,banana salmon salad,4
dennett,creamed onions with peanuts,4
halle,creamed onions with peanuts,3
lerdahl,barbecue bean mold,4
einstein,macaroni-pineapple toss,3
jackendoff,soup on a stick,1
einstein,cream of chicken glace,3
halle,spaghetti mit currywurst,2
einstein,cottage cheese-pickle-peanut sandwich,2
lakoff,creamed onions with peanuts,5
lakoff,hot pear appetizer,3
dennett,versatile chicken in aspic,5
lerdahl,cream of chicken glace,5
mandler,macaroni-pineapple toss,1
churchland,nut turkey,3
mccarthy,alphabet pie,4
mccarthy,butter mint sauce,1
mandler,banana and shrimp curry,5
lerdahl,coconut snowman,3
dennett,creamed onions with peanuts,1
dennett,barbecue bean mold,2
simon,cheesy onions,3
montague,spiral staircase (gin and onion dip),4
einstein,beans on toast on grapefruit,2
edelman,sauerkraut surprise cake,3
derrida,versatile chicken in aspic,5
pylyshyn,spaghetti mit currywurst,1
churchland,banana doolittle,5
lerdahl,eggs a l'orange,3
dennett,banana and shrimp curry,3
einstein,cottage cheese-pickle-peanut sandwich,1
einstein,cottage cheese and kidney bean salad,4
edelman,deviled onions,3
simon,snow capped peaches,1
mandler,sauerkraut surprise cake,5
lerdahl,cold spaghetti creams,5
derrida,apricot baskets,2
simon,eggs a l'orange,5
jackendoff,versatile chicken in aspic,5
churchland,alphabet pie,4
minsky,sauerkraut surprise cake,2
miller,deviled onions,1
churchland,cheesy onions,1
searle,cabbage christmas tree,4
halle,poinsettia salad,2
pylyshyn,barbecue bean mold,5
fodor,cheesy onions,5
dennett,carrot and broccoli towers,2
minsky,spaghetti rondelles,5
mccarthy,poinsettia salad,4
lakoff,deviled onions,3
derrida,apricot baskets,3
dennett,creamed onions with peanuts,2
einstein,donut prune salad,1
derrida,chopped liver igloo,4
derrida,spiral staircase (gin and onion dip),5
pylyshyn,fried alligator,1
jackendoff,eddie the eggplant,2
lakoff,spaghetti loaf,3
edelman,glamour girl salad,1
lerdahl,mr. america cashew loaf,5
derrida,nut turkey,3
jackendoff,banana and shrimp curry,4
halle,barbecue bean mold,3
jackendoff,turnip kangaroo,4
pylyshyn,apricot baskets,4
searle,fried alligator,4
